	host species	locality	season	year	case	Dper	Dcon	Fgib	Scep	Sacsp	Scur	Sobe	Sten	Sbra	Hben	Hspl	Sspa	Lput	Lesp	Leco	Spap	Sdim	Smin	Aadr	Nper	Cbio	Lmed	Lcep	Lcha	Limi	Lszi	Lcon	Lvan	Mcep	Erge
4CEDS28	Mc	EDS	A	2005	2	30	0	0	6	12	2	0	0	0	0	12	0	0	0	9	2	0	0	0	4	1	0	3	10	0	0	0	0	0	0
4CEDS29	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	4	1	0	0	0	0	0	0	0
3CSPL01	Mc	SPL	S	2005	2	0	0	0	8	17	2	0	0	0	0	17	0	0	0	0	0	0	14	0	11	0	22	2	1	0	0	0	0	0	0
3CSPL02	Mc	SPL	S	2005	2	46	0	0	15	6	1	0	0	0	0	0	0	0	4	0	0	98	14	0	10	0	12	0	0	0	0	0	0	0	0
3CSPL03	Mc	SPL	S	2005	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0
3CSPL04	Mc	SPL	S	2005	2	242	0	0	55	0	0	0	0	0	0	1	0	0	18	0	0	0	54	0	21	0	1	0	0	0	0	0	0	0	0
3CSPL05	Mc	SPL	S	2005	2	0	0	0	31	20	2	0	0	0	0	0	0	0	7	0	0	115	25	0	5	0	0	0	0	0	0	0	0	0	0
3CSPL06	Mc	SPL	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
3CSPL07	Mc	SPL	S	2005	2	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0
3CSPL08	Mc	SPL	S	2005	2	179	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	39	78	0	42	0	1	0	0	0	0	0	0	0	0
3CSPL09	Mc	SPL	S	2005	2	50	0	0	3	6	1	0	0	0	0	9	0	9	0	0	0	0	69	0	33	0	3	0	0	0	0	0	0	0	0
3CSPL10	Mc	SPL	S	2005	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	3	0	1	0	0	0	0	0	0	0	0
3CSPL11	Mc	SPL	S	2005	2	37	0	0	60	0	0	0	0	0	0	4	0	0	20	0	0	0	52	0	5	0	3	0	0	0	0	0	0	0	0
3CSPL12	Mc	SPL	S	2005	2	0	0	0	188	23	3	0	0	0	0	0	0	0	59	0	0	0	12	0	21	0	12	0	0	0	0	0	0	0	0
3CSPL13	Mc	SPL	S	2005	2	290	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0
3CSPL14	Mc	SPL	S	2005	2	23	0	0	52	21	3	0	0	0	0	15	0	0	14	0	0	98	19	0	44	0	0	0	0	0	0	0	0	0	0
